Date,Log_Return
1988-01-19,0.015915455305899773
1988-01-20,-0.015915455305899773
1988-01-21,0.014745180157709203
1988-01-22,-0.022499468937714262
1988-01-25,-0.015083242211328507
1988-01-27,-0.0196445850742637
1988-01-28,-0.0018616201467001048
1988-01-29,0.011118088583977226
1988-02-01,-0.011118088583977226
1988-02-02,0.0049566396399285395
1988-02-03,-0.0018558619616801941
1988-02-04,0.0018558619616801941
1988-02-05,-0.0049566396399285395
1988-02-08,0.024541108916117604
1988-02-09,-0.006079046076381989
1988-02-10,-0.01660044269303551
1988-02-11,-0.0018616201467001048
1988-02-12,-0.021978906718775004
1988-02-15,-0.004454350349380576
1988-02-16,-0.003193870488876538
1988-02-17,0.013977355889904342
1988-02-18,-0.02362063216170851
1988-02-19,0.004511770463662135
